"keywords","reply_en","reply_hi"
"team,group,team kaise banaye,how to build team,member add","👥 <b>Building a Team:</b> Go to 'My Team' in your student dashboard. Invite other students by entering their email addresses.","👥 <b>Team kaise banaye:</b> Student dashboard mein 'My Team' section mein jao. Doosre students ki email daalo aur invite karo."
"team selection,team kaise select hoti hai","🎯 <b>Team Selection:</b> Faculty or industry selects the best team based on the students' skills, past portfolio, and their proposal.","🎯 <b>Team Selection:</b> Faculty ya industry best team select karti hai unke skills aur proposal ke base par."
"team conflict,member inactive,team change","⚠️ <b>Team Issues:</b> If a member is inactive or you need to change your team, report it to your Faculty mentor. Changes require mentor approval.","⚠️ <b>Team Issues:</b> Agar koi member inactive hai ya team change karni hai, toh Mentor ko report karo. Team change ke liye unki approval chahiye."
"submit project,project submit,how to submit,project workflow,progress tracking","📤 <b>Project Workflow & Submission:</b> Track your milestones in the dashboard. When done, go to 'Submit Project', add your GitHub link/demo, and submit for review!","📤 <b>Project Submit & Workflow:</b> Dashboard mein milestones track karo. Kaam hone par 'Submit Project' mein jao, GitHub/Demo link dalo aur review ke liye submit karo!"
"certificate,certification,certificate kab milega,experience letter","🏆 <b>Certificates & Experience:</b> After project completion and faculty approval, your Experience Letter and Certificate are automatically generated in your dashboard!","🏆 <b>Certificate & Experience:</b> Project complete aur Faculty se approve hone ke baad, Certificate aur Experience Letter dashboard mein aayega!"
"earning,earn,money,paise,payment,kitna milega,revenue","💰 <b>Earnings Distribution:</b> When a project is successfully delivered:<br>• 45% → Student<br>• 25% → Faculty<br>• 30% → University","💰 <b>Earnings ka hisab:</b> Project successful hone par:<br>• 45% → Student ko<br>• 25% → Faculty ko<br>• 30% → University ko milta hai."
"student profit,why student,student benefit,mera kya fayda,student kyu kare","🎓 <b>Student Benefits:</b> Earn real money (45% of budget) while in college! Build a strong resume with Real-World Projects, get direct industry exposure, and secure high placement chances.","🎓 <b>Students ka Fayda:</b> College ke dauran real paise kamao! Real-World Projects se strong resume banao, direct industry exposure pao aur placements secure karo."
"faculty profit,why faculty,teacher benefit,faculty fayda,mentor benefit","👨‍🏫 <b>Faculty Benefits:</b> Earn 25% of the project budget as consulting fees! Build an industry consulting profile, gather real case studies for research, and boost university API points.","👨‍🏫 <b>Faculty ka Fayda:</b> Project budget ka 25% consulting fee ke roop mein milta hai! Industry profile banti hai, research ke liye case studies aur API points milte hain."
"university benefit,college ka fayda,why poornima,college profit","🏛️ <b>University Benefits:</b> Becomes an Industry Consulting Hub, earns 30% commission per project, gets a massive boost in Brand Value, Admissions, and MSME/Govt tie-ups!","🏛️ <b>University ke Fayde:</b> Poornima ek Consulting Hub banegi, 30% commission aayega, Brand Value/Admissions badhenge aur Government/MSME tie-ups honge!"
"provider profit,industry benefit,company ka fayda,why provider,industry profit","💼 <b>Provider Benefits:</b><br>1. <b>Cost-Effective:</b> High-quality solutions at a fraction of IT agency costs.<br>2. <b>Innovation:</b> Fresh tech ideas from young minds.<br>3. <b>Zero Risk:</b> Faculty supervised.<br>4. <b>Talent Spotting:</b> Hire top students directly!","💼 <b>Provider ka Fayda:</b><br>1. <b>Sasta:</b> IT agency se bahut kam daam mein kaam.<br>2. <b>Naye Ideas:</b> Young students se fresh tech solutions.<br>3. <b>Safe:</b> Faculty mentor hoti hai.<br>4. <b>Hiring:</b> Best students ko direct hire karne ka mauka!"
"why from here,yahi se kyu,why solvex for provider,freelancer vs solvex,bahar se kyu nahi","🚀 <b>Freelancer vs Solvex:</b> Freelancers can miss deadlines, but Solvex is a <b>Guided Ecosystem</b>. The University holds accountability, Faculty enforces strict milestones, and you pay the main budget only on successful delivery. 100% risk-free!","🚀 <b>Bahar ya Freelancer se kyu nahi?</b> Freelancer dhokha de sakte hain, par Solvex <b>Guided Ecosystem</b> hai. Yahan Faculty strictly kaam karwati hai, aur aapko main payment tabhi deni hai jab project pasand aaye. 100% safe!"
"internshala,upwork,fiverr,difference,how different,competition","🌟 <b>Solvex vs Others:</b> Unlike Internshala or Upwork, Solvex integrates Faculty Mentorship. Students aren't left alone. This guarantees enterprise-grade quality for companies and a safe learning space for students.","🌟 <b>Solvex baakiyon se alag kyu?</b> Internshala/Upwork ki tarah yahan students akele nahi hote. Yahan Faculty unhe guide karti hai, jisse quality top-class rehti hai aur student bhi seekh pata hai."
"ip,ip rights,intellectual property,ownership,copyright,who owns the code","⚖️ <b>Intellectual Property (IP):</b> The <b>University</b> owns the core solution. The <b>Industry</b> gets lifetime Usage Rights. The <b>Students</b> get full Portfolio & Credit Rights!","⚖️ <b>IP Rights:</b> Solution ki core ownership <b>University</b> ke paas rahegi. <b>Industry</b> ko lifetime Usage Rights milenge aur <b>Students</b> ko Credit aur Portfolio Rights milenge!"
"plagiarism,copy,chatgpt,cheating,originality,fake code","🚫 <b>Originality & Cheating:</b> Faculty mentors strictly review the code. Before final submission, students must give a <b>Live Demo / Viva</b> of their prototype to prove they built it themselves.","🚫 <b>Copy Paste Check:</b> Faculty mentors code ka strict review karte hain. Saath hi, students ko final submission se pehle <b>Live Demo / Viva</b> dena hota hai apna knowledge prove karne ke liye."
"quality,reject,bad project,dispute,kharab project,evaluation","🛡️ <b>Quality Control:</b> We follow Milestone-based tracking. The Faculty evaluates the final solution before handing it to the Industry. Poor quality projects are rejected and fixed before delivery.","🛡️ <b>Quality Control:</b> Humara system Milestone-based hai. Industry ko dene se pehle Faculty final evaluation karti hai. Kharab quality wale projects aage nahi bheje jaate."
"security,nda,data leak,privacy,data safe hai","🔒 <b>Data Security & NDA:</b> Companies can mask sensitive data. Also, the University and Students sign a strict Non-Disclosure Agreement (NDA) to ensure 100% data safety.","🔒 <b>Data Security:</b> Companies apna data hide kar sakti hain. Project shuru hone se pehle strict NDA (Non-Disclosure Agreement) sign hota hai taaki data 100% leak-proof rahe."
"milestone,deadline,late,fail,nahi hua to,missed deadline","⏳ <b>Deadlines & Failure:</b> Projects have strict deadlines. If a team lags, the platform alerts the Faculty mentor. In emergencies, Faculty can assign backup students to deliver on time.","⏳ <b>Deadline Miss Issue:</b> Platform pe strict tracking hai. Agar team peeche reh rahi hai, toh Mentor ko alert chala jata hai. Emergency mein backup students lagaye ja sakte hain."
"payment delay,payment issue,refund,money back","💳 <b>Payments & Refunds:</b> Payments may take a few days post-approval for verification. Refunds for providers depend on the specific project agreement and admin policies.","💳 <b>Payment & Refund:</b> Approval ke baad verification mein thoda time lagta hai. Provider refund ki policy project agreement aur admin rules par depend karti hai."
"ai use,ai feature,ai kya karta hai,artificial intelligence,tech stack","🧠 <b>AI in Solvex-AI:</b> I use AI to auto-categorize problems, suggest the best student teams based on skills, show similar past projects, and predict project success rates!","🧠 <b>Solvex-AI mein AI:</b> Main AI se problems categorize karti hun, skills ke hisaab se best team suggest karti hun aur project ke success hone ke chances predict karti hun!"
"analytics,reports,dashboard data","📊 <b>Analytics:</b> The Admin dashboard shows rich analytics including total revenue generated, project success rates, and individual performance metrics.","📊 <b>Analytics:</b> Admin dashboard mein revenue, successful projects aur performance ki poori analytics dikhayi deti hai."
"vision,future,scope,government tieup,long term,startup","🚀 <b>Future Vision:</b> Solvex aims to be India's largest University-Industry bridge. We plan to integrate Startup Incubation, where highly successful student projects get seed funding and Govt/MSME support!","🚀 <b>Future Vision:</b> Humara goal India ka sabse bada University-Industry platform banna hai. Future mein best projects ko MSME/Govt support se real startup mein convert kiya jayega!"
"fee,fees,free,charge,cost","🆓 The Solvex-AI platform is completely <b>FREE</b> for students! No registration fees, no hidden charges.","🆓 Solvex-AI platform students ke liye bilkul <b>FREE</b> hai! Koi registration ya hidden charge nahi."
"contact,phone,number,email,reach,support,helpline","📞 <b>Contact Us:</b><br>📱 +91 9351360177<br>✉️ praveennama7665@gmail.com<br>📍 Jaipur, Rajasthan","📞 <b>Hamse contact karo:</b><br>📱 +91 9351360177<br>✉️ praveennama7665@gmail.com<br>📍 Jaipur, Rajasthan"
"aira,your name,who are you,tumhara naam,apna naam batao,introduce yourself","🤖 I'm <b>AIRA</b> — <b>AI Intelligent Response Assistant</b>, powered by <b>Solvex-AI</b>! I'm here to answer your questions and connect you with the right resources. How can I help? 😊","🤖 Main hun <b>AIRA</b> — <b>AI Intelligent Response Assistant</b>, <b>Solvex-AI</b> ki taraf se! Main platform navigate karne aur sawaalon ke jawab dene mein help karti hun. 😊"
"error,bug,issue,not working","⚠️ Looks like a technical snag! Please report this issue to our support team so we can fix it ASAP.","⚠️ Lagta hai koi technical issue hai! Kripya isko support team ko report karein taaki hum modern karein."
"thank,thanks,shukriya,dhanyawad,bahut accha,great,awesome,good job","😊 You're welcome! I'm AIRA — always here to help. Feel free to ask anything anytime!","😊 Koi baat nahi! Main AIRA hun — hamesha help ke liye yahan hun. Kabhi bhi kuch puchho!"
"default","🤔 I may not have the exact answer right now, but I can guide you. Try checking your dashboard or contacting our support team!","🤔 Mujhe iska exact jawab nahi pata, lekin main guide kar sakti hun. Apna dashboard check karo ya support team se contact karo!"
"dispute,fight,fake rejection,jhagda,company refuse to pay,paise nahi diye","⚖️ <b>Dispute Resolution:</b> If a company rejects a good project to avoid payment, our <b>University Admin Panel</b> acts as the judge. The admin holds the budget in escrow. If the faculty proves the project meets all initial requirements, the company must pay, or their usage rights are revoked!","⚖️ <b>Dispute Resolution (Jhagda):</b> Agar company jaan-boojh kar payment rokne ke liye project reject kare, toh <b>University Admin</b> final judge hota hai. Paisa pehle hi escrow me hota hai. Agar requirement poori hui hai, toh payment dena padega, warna company solution use nahi kar sakti!"
"maintenance,bug fix,support after delivery,baad me kharab hua,crash,warranty","🔧 <b>Post-Delivery Support:</b> Students provide a standard <b>30 to 60-day Bug Fixing Warranty</b> after the final submission. This ensures the company doesn't face issues immediately after deployment and builds trust in student developers.","🔧 <b>Maintenance Support:</b> Final project delivery ke baad students <b>30 se 60 din ka Bug Fixing Warranty</b> dete hain. Isse company ko trust milta hai ki deployment ke baad agar koi bug aaya, toh students fix karke denge."
"rating,leaderboard,top student,rank,best team,badges","🌟 <b>Leaderboard & Ratings:</b> After every project, companies and faculty rate the students. Top-rated students climb the <b>Solvex Leaderboard</b>, earning special badges, priority in future projects, and direct Pre-Placement Offers (PPOs)!","🌟 <b>Leaderboard & Rating:</b> Har project ke baad company aur faculty students ko rate karte hain. Top rankers ko <b>Solvex Leaderboard</b> par special badges milte hain, aur unhe badi companies se direct PPO (Job Offers) aane ke chances badh jaate hain!"
"illegal,copyright,pirated,third party api,license,stolen code","🛡️ <b>License & Compliance:</b> We have a strict policy! Students must use only Open-Source (MIT/Apache) libraries or legally approved APIs. Faculty checks the codebase for licensing issues to protect companies from future copyright claims.","🛡️ <b>Copyright & License Check:</b> Humara strict rule hai ki students sirf Open-Source ya legal APIs hi use karein. Faculty codebase check karti hai taaki company pe future mein koi copyright strike ya legal case na aaye."
"elevator pitch,short pitch,in one line,short description,1 line me,pitch","🚀 <b>The Solvex Pitch:</b> Solvex-AI is a B2B platform that turns academic assignments into real-world industry solutions. We give companies dirt-cheap, high-quality tech built by mentored students, while turning students into industry-ready professionals before they even graduate!","🚀 <b>Solvex in 1 Line:</b> Solvex-AI ek aisa bridge hai jo college assignments ko real industry solutions me badal deta hai. Companies ko sasta aur best tech milta hai, aur students graduate hone se pehle hi industry-ready aur financially independent ban jaate hain!"
"founder,creator,who made you,kisne banaya,developer,owner,developed by,ceo,brain behind","👨‍💻 <b>Creators & Founders:</b> The core vision of Solvex-AI was conceptualized by <b>Praveen Nama</b>. But a great vision needs a great team! It was brought to life by an incredible core team including <b>Priyanshi Kumawat</b>, <b>Krishna Yadav</b>, and <b>Meenal Patwa</b>.","👨‍💻 <b>Creators & Founders:</b> Solvex-AI ka core vision <b>Praveen Nama</b> ka hai. Lekin ek akele se itna bada platform nahi banta! Isko real life mein lane ke liye ek solid team ne milkar kaam kiya hai jisme <b>Priyanshi Kumawat</b>, <b>Krishna Yadav</b>, aur <b>Meenal Patwa</b> shamil hain."
"team,who else,kis kis ne banaya,co founder,team members,developers,kaun kaun hai","🤝 <b>The Dream Team:</b> Solvex-AI was built by an amazing group of talented minds! <b>Praveen Nama</b> led the project, working seamlessly alongside the brilliant core developers: <b>Priyanshi Kumawat</b>, <b>Krishna Yadav</b>, and <b>Meenal Patwa</b>.","🤝 <b>The Dream Team:</b> Solvex-AI ko ek shaandaar team ne milkar banaya hai! <b>Praveen Nama</b> ne is project ko lead kiya hai, aur unke saath is power-packed team mein <b>Priyanshi Kumawat</b>, <b>Krishna Yadav</b>, aur <b>Meenal Patwa</b> shamil hain."
"is it from google,is it from openai,chatgpt ne banaya,google ne banaya,tumhara baap kaun hai,who is your father","😎 <b>My Origin:</b> I am not just a standard bot from Google or OpenAI. I am <b>AIRA</b>, a highly specialized custom AI built specifically for Solvex-AI by the amazing team of <b>Praveen, Priyanshi, Krishna, and Meenal</b>!","😎 <b>Meri Origin:</b> Main koi aam bot nahi hoon jise Google ya OpenAI ne direct yahan bitha diya ho. Main <b>AIRA</b> hoon, ek custom AI jise specifically Solvex-AI ke liye <b>Praveen, Priyanshi, Krishna, aur Meenal</b> ki team ne banaya hai!"
"submit project,project submit,project kaise submit","Go to the 'Submit Project' section in the Student dashboard. Add your GitHub link and description. Faculty will review it 📤","Student dashboard mein 'Submit Project' section mein jaiye. GitHub link aur description daalo. Faculty review karegi 📤"
"fee,fees,registration fee","The platform is absolutely FREE! There is no registration fee 🆓","Platform bilkul FREE hai! Koi registration fee nahi hai 🆓"
"timeline,deadline,time","Each problem has a different timeline — check the problem details. Hurry up! ⏰","Har problem ki alag timeline hoti hai — problem details mein dekho. Jaldi karo! ⏰"
"category,type,domain","Problems are available in various categories like Web Dev, AI/ML, App Dev, Data Science, etc. 💻","Problems alag alag categories mein hain jaise: Web Dev, AI/ML, App Dev, Data Science, etc. 💻"
"github,code,repository","Don't forget to add your GitHub repository link while submitting the project 🔗","Project submit karte time apna GitHub repository link zaroor daalo 🔗"
"mobile,app,android,ios","Currently, Solvex-AI is a web-only platform. A mobile app may come soon 📱","Abhi Solvex-AI sirf web platform hai. Mobile app jald aa sakta hai 📱"
"dashboard,profile,account","After logging in, you will see your dashboard where you can manage everything 🖥️","Login karne ke baad apna dashboard dikhega jahan sab kuch manage kar sakte ho 🖥️"
"notification,alert","Currently, email notifications are available. Updates also appear on your dashboard 🔔","Abhi email notifications available hain. Dashboard pe bhi updates dikhti hain 🔔"
"rank,ranking,leaderboard","Top students get ranked based on their completed projects 🏅","Top students ko unke completed projects ke basis pe rank milta hai 🏅"
"budget,amount,kitna milega","Each problem has a different budget — the amount is written on the problem card 💵","Har problem ka alag budget hota hai — problem card pe amount likha hota hai 💵"
